num_oferta,centretreball,descripcio,cicles,oee
272/23,varis,Stamping,45.0,45.19
272/23,9390,Soft Deburring,1500.0,100.0
272/23,8046,Verficació EDDY + enllaçar ↓,400.0,100.0
272/23,9970,Verificar i Col·locar,400.0,100.0
