ordre_oferta,ordre,descripcio,proveidor,preu,id_referencia_client
272/23,1,Heat Treatment 46-52 HRC,"Proterme (1,75 €/u)",0.2457,A027Y916
272/23,2,KTL 15-30 micres,CAYPI,0.089,A027Y916
