id_referencia_some,id_element,client,element,property,pieza,datum
BROSE_G51046_101_41548F, N15.4_PosiciónØ,BROSE, N15.4,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N15.5_PosiciónØ,BROSE, N15.5,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N15.6_PosiciónØ,BROSE, N15.6,PosiciónØ,41548F,Sistema global de coordenadas
BROSE_G51046_101_41548F, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_41548F, N12_Perfil de una línea,BROSE, N12,Perfil de una línea,nan,Sistema global de coordenadas
BROSE_G51046_101_41548F, N39_∠XZ,BROSE, N39,∠XZ,nan,nan
BROSE_G51046_101_41548, N38_PosiciónØ,BROSE, N38,PosiciónØ,41548.0,Sistema global de coordenadas
BROSE_G51046_101_41548, N40_PosiciónØ,BROSE, N40,PosiciónØ,41548.0,DATUM D
BROSE_G51046_101_41548, N41_PosiciónØ,BROSE, N41,PosiciónØ,41548.0,Sistema global de coordenadas
BROSE_G51046_101_FINAL LOT, N2_PosiciónØ,BROSE, N2,PosiciónØ,FINAL LOT,Sistema global de coordenadas
BROSE_G51046_101_FINAL LOT, N7_PosiciónØ,BROSE, N7,PosiciónØ,FINAL LOT,Sistema global de coordenadas
BROSE_G51046_101_FINAL LOT, N9_PosiciónØ,BROSE, N9,PosiciónØ,FINAL LOT,Sistema global de coordenadas
