id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1206216A, N33.1_Posición,JOYSON, N33.1,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N33.2_Posición,JOYSON, N33.2,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N33.3_Posición,JOYSON, N33.3,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N33.4_Posición,JOYSON, N33.4,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N33.6_Posición,JOYSON, N33.6,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_40255, N40_Ø,JOYSON, N40,Ø,40255.0,nan
JOYSON_3118675_AB_1206216A, N33.7_Posición,JOYSON, N33.7,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N33.8_Posición,JOYSON, N33.8,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.1_Posición,JOYSON, N36.1,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.2_Posición,JOYSON, N36.2,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.3_Posición,JOYSON, N36.3,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.4_Posición,JOYSON, N36.4,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.6_Posición,JOYSON, N36.6,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.7_Posición,JOYSON, N36.7,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N36.8_Posición,JOYSON, N36.8,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1206216A,Sistema global de coordenadas
JOYSON_3127672_AB_11887, N36.8_Posición,JOYSON, N36.8,Posición,11887.0,Sistema global de coordenadas
